episode,return,steps,died,epsilon
0,0.0,75,True,1.0
1,1.0,87,True,0.9996832277425809
2,0.0,17,True,0.9993664554851617
3,0.0,15,True,0.9990496832277426
4,0.0,19,True,0.9987329109703235
5,0.0,27,True,0.9984161387129044
6,0.0,62,True,0.9980993664554851
7,0.0,30,True,0.997782594198066
8,0.0,27,True,0.9974658219406469
9,0.0,25,True,0.9971490496832277
10,0.0,12,True,0.9968322774258086
11,0.0,250,False,0.9965155051683895
12,0.0,56,True,0.9961987329109703
13,0.0,111,True,0.9958819606535512
14,0.0,94,True,0.9955651883961321
15,2.0,178,True,0.995248416138713
16,1.0,53,True,0.9949316438812937
17,0.0,34,True,0.9946148716238746
18,0.0,37,True,0.9942980993664555
19,2.0,250,False,0.9939813271090363
20,0.0,11,True,0.9936645548516172
21,0.0,5,True,0.9933477825941981
22,0.0,55,True,0.9930310103367789
23,1.0,170,True,0.9927142380793598
24,0.0,37,True,0.9923974658219407
25,0.0,14,True,0.9920806935645216
26,0.0,239,True,0.9917639213071023
27,1.0,122,True,0.9914471490496832
28,0.0,7,True,0.9911303767922641
29,0.0,23,True,0.9908136045348449
30,0.0,28,True,0.9904968322774258
31,0.0,17,True,0.9901800600200067
32,0.0,68,True,0.9898632877625876
33,0.0,25,True,0.9895465155051684
34,1.0,171,True,0.9892297432477493
35,0.0,103,True,0.9889129709903302
36,0.0,42,True,0.9885961987329109
37,0.0,31,True,0.9882794264754918
38,0.0,62,True,0.9879626542180727
39,1.0,75,True,0.9876458819606535
40,1.0,70,True,0.9873291097032344
41,0.0,239,True,0.9870123374458153
42,0.0,22,True,0.9866955651883962
43,1.0,186,True,0.986378792930977
44,1.0,131,True,0.9860620206735579
45,0.0,63,True,0.9857452484161388
46,1.0,201,True,0.9854284761587195
47,0.0,168,True,0.9851117039013004
48,1.0,71,True,0.9847949316438813
49,0.0,64,True,0.9844781593864621
50,0.0,71,True,0.984161387129043
51,0.0,26,True,0.9838446148716239
52,0.0,83,True,0.9835278426142048
53,0.0,49,True,0.9832110703567856
54,0.0,42,True,0.9828942980993665
55,0.0,8,True,0.9825775258419474
56,0.0,35,True,0.9822607535845281
57,0.0,63,True,0.981943981327109
58,0.0,30,True,0.9816272090696899
59,0.0,137,True,0.9813104368122707
60,0.0,15,True,0.9809936645548516
61,0.0,34,True,0.9806768922974325
62,0.0,6,True,0.9803601200400134
63,0.0,16,True,0.9800433477825942
64,0.0,129,True,0.9797265755251751
65,0.0,19,True,0.979409803267756
66,0.0,15,True,0.9790930310103367
67,0.0,27,True,0.9787762587529176
68,0.0,220,True,0.9784594864954985
69,0.0,17,True,0.9781427142380794
