episode,return,steps,died,epsilon
0,2.0,200,False,1.0
1,1.0,200,False,0.9995247623811906
2,2.0,200,False,0.9990495247623812
3,1.0,200,False,0.9985742871435718
4,2.0,200,False,0.9980990495247624
5,2.0,200,False,0.997623811905953
6,2.0,200,False,0.9971485742871435
7,1.0,200,False,0.9966733366683341
8,0.0,200,False,0.9961980990495247
9,0.0,200,False,0.9957228614307153
10,3.0,200,False,0.9952476238119059
11,1.0,200,False,0.9947723861930966
12,3.0,200,False,0.9942971485742872
13,0.0,200,False,0.9938219109554778
14,3.0,200,False,0.9933466733366684
15,2.0,162,False,0.992871435717859
