episode,return,steps,died,epsilon
0,0.0,71,True,1.0
1,0.0,67,True,0.9996832277425809
2,5.0,242,True,0.9993664554851617
3,0.0,38,True,0.9990496832277426
4,2.0,180,True,0.9987329109703235
5,1.0,250,False,0.9984161387129044
6,0.0,27,True,0.9980993664554851
7,0.0,64,True,0.997782594198066
8,1.0,164,True,0.9974658219406469
9,1.0,250,False,0.9971490496832277
10,0.0,85,True,0.9968322774258086
11,0.0,79,True,0.9965155051683895
12,0.0,93,True,0.9961987329109703
13,2.0,187,True,0.9958819606535512
14,0.0,113,True,0.9955651883961321
15,0.0,10,True,0.995248416138713
16,0.0,35,True,0.9949316438812937
17,0.0,28,True,0.9946148716238746
18,6.0,134,False,0.9942980993664555
19,0.0,87,True,0.9939813271090363
20,0.0,40,True,0.9936645548516172
21,0.0,181,True,0.9933477825941981
22,1.0,250,False,0.9930310103367789
23,0.0,13,True,0.9927142380793598
24,2.0,233,True,0.9923974658219407
25,0.0,74,True,0.9920806935645216
26,0.0,65,True,0.9917639213071023
27,5.0,250,False,0.9914471490496832
28,0.0,26,True,0.9911303767922641
29,0.0,100,True,0.9908136045348449
30,0.0,200,True,0.9904968322774258
31,0.0,34,True,0.9901800600200067
32,2.0,250,False,0.9898632877625876
33,0.0,121,True,0.9895465155051684
34,0.0,59,True,0.9892297432477493
35,4.0,250,False,0.9889129709903302
36,0.0,45,True,0.9885961987329109
37,0.0,66,True,0.9882794264754918
38,2.0,250,False,0.9879626542180727
39,0.0,160,True,0.9876458819606535
40,0.0,91,True,0.9873291097032344
41,0.0,21,True,0.9870123374458153
42,0.0,83,True,0.9866955651883962
43,0.0,15,True,0.986378792930977
44,0.0,80,True,0.9860620206735579
45,0.0,128,True,0.9857452484161388
46,0.0,15,True,0.9854284761587195
47,0.0,31,True,0.9851117039013004
48,0.0,88,True,0.9847949316438813
49,3.0,250,False,0.9844781593864621
50,1.0,148,True,0.984161387129043
51,0.0,133,True,0.9838446148716239
52,2.0,250,False,0.9835278426142048
53,0.0,94,True,0.9832110703567856
54,0.0,15,True,0.9828942980993665
55,0.0,73,True,0.9825775258419474
56,2.0,219,True,0.9822607535845281
57,0.0,99,True,0.981943981327109
58,0.0,35,True,0.9816272090696899
59,0.0,35,True,0.9813104368122707
60,0.0,92,True,0.9809936645548516
61,0.0,76,True,0.9806768922974325
62,0.0,19,True,0.9803601200400134
63,0.0,19,True,0.9800433477825942
64,2.0,250,False,0.9797265755251751
65,0.0,101,True,0.979409803267756
66,0.0,84,True,0.9790930310103367
67,3.0,250,False,0.9787762587529176
68,0.0,39,True,0.9784594864954985
69,0.0,35,True,0.9781427142380794
70,0.0,54,True,0.9778259419806602
71,0.0,47,True,0.9775091697232411
72,4.0,250,False,0.977192397465822
73,1.0,60,True,0.9768756252084028
74,0.0,70,True,0.9765588529509837
75,0.0,45,True,0.9762420806935646
76,0.0,71,True,0.9759253084361453
77,4.0,227,True,0.9756085361787262
78,2.0,198,True,0.9752917639213071
79,0.0,65,True,0.974974991663888
80,0.0,27,True,0.9746582194064688
81,0.0,26,True,0.9743414471490497
82,2.0,250,False,0.9740246748916306
83,4.0,250,False,0.9737079026342114
84,0.0,88,True,0.9733911303767923
85,0.0,150,True,0.9730743581193732
86,0.0,66,True,0.9727575858619539
87,1.0,105,True,0.9724408136045348
88,1.0,106,True,0.9721240413471157
89,2.0,250,False,0.9718072690896966
90,1.0,74,True,0.9714904968322774
91,3.0,250,False,0.9711737245748583
92,0.0,10,True,0.9708569523174392
93,3.0,250,False,0.97054018006002
94,0.0,27,True,0.9702234078026009
