episode,return,steps,died,epsilon
0,0.0,200,False,1.0
1,0.0,97,True,0.9995247623811906
2,0.0,9,True,0.9990495247623812
3,0.0,47,True,0.9985742871435718
4,0.0,107,True,0.9980990495247624
5,0.0,13,True,0.997623811905953
6,0.0,41,True,0.9971485742871435
7,1.0,26,True,0.9966733366683341
8,0.0,174,True,0.9961980990495247
9,0.0,75,True,0.9957228614307153
10,0.0,22,True,0.9952476238119059
11,0.0,20,True,0.9947723861930966
12,0.0,22,True,0.9942971485742872
13,0.0,22,True,0.9938219109554778
14,0.0,80,True,0.9933466733366684
15,0.0,57,True,0.992871435717859
16,0.0,14,True,0.9923961980990496
17,0.0,13,True,0.9919209604802401
18,0.0,146,True,0.9914457228614307
19,0.0,45,True,0.9909704852426213
20,2.0,200,False,0.9904952476238119
21,0.0,36,True,0.9900200100050025
22,0.0,200,False,0.9895447723861931
23,1.0,23,True,0.9890695347673837
24,0.0,14,True,0.9885942971485743
25,0.0,200,False,0.9881190595297649
26,0.0,74,True,0.9876438219109555
27,2.0,200,False,0.987168584292146
28,0.0,200,False,0.9866933466733366
29,0.0,74,True,0.9862181090545272
30,0.0,126,True,0.9857428714357178
31,0.0,184,True,0.9852676338169084
32,0.0,69,True,0.9847923961980991
33,0.0,200,False,0.9843171585792897
34,0.0,36,True,0.9838419209604803
35,0.0,62,True,0.9833666833416709
36,0.0,88,True,0.9828914457228615
37,0.0,200,False,0.9824162081040521
38,0.0,200,False,0.9819409704852426
39,0.0,200,False,0.9814657328664332
40,0.0,200,False,0.9809904952476238
41,0.0,92,True,0.9805152576288144
42,0.0,5,True,0.980040020010005
43,0.0,87,True,0.9795647823911956
44,0.0,14,True,0.9790895447723862
45,0.0,151,True,0.9786143071535768
46,0.0,33,True,0.9781390695347674
47,2.0,200,False,0.977663831915958
48,0.0,105,True,0.9771885942971485
49,0.0,20,True,0.9767133566783391
50,0.0,24,True,0.9762381190595297
51,0.0,200,False,0.9757628814407203
52,0.0,69,True,0.9752876438219109
53,0.0,16,True,0.9748124062031015
54,0.0,200,False,0.9743371685842922
55,0.0,200,False,0.9738619309654828
56,0.0,31,True,0.9733866933466734
57,0.0,12,True,0.972911455727864
58,0.0,24,True,0.9724362181090546
59,0.0,18,True,0.9719609804902452
60,0.0,89,True,0.9714857428714357
61,1.0,48,True,0.9710105052526263
62,0.0,113,True,0.9705352676338169
63,0.0,102,True,0.9700600300150075
64,0.0,200,False,0.9695847923961981
65,0.0,22,True,0.9691095547773887
66,0.0,12,True,0.9686343171585793
67,0.0,48,True,0.9681590795397699
68,0.0,61,True,0.9676838419209605
69,0.0,200,False,0.967208604302151
70,0.0,9,True,0.9667333666833416
71,1.0,52,True,0.9662581290645322
72,0.0,12,True,0.9657828914457228
73,0.0,43,True,0.9653076538269134
74,0.0,27,True,0.9648324162081041
75,0.0,200,False,0.9643571785892946
76,0.0,14,True,0.9638819409704853
77,0.0,47,True,0.9634067033516759
78,0.0,48,True,0.9629314657328665
79,1.0,19,True,0.9624562281140571
80,0.0,172,True,0.9619809904952477
81,0.0,46,True,0.9615057528764382
82,0.0,21,True,0.9610305152576288
83,2.0,199,True,0.9605552776388194
84,0.0,200,False,0.96008004002001
85,1.0,28,True,0.9596048024012006
86,0.0,18,True,0.9591295647823912
87,0.0,101,True,0.9586543271635818
88,0.0,200,False,0.9581790895447724
89,0.0,14,True,0.957703851925963
90,0.0,56,True,0.9572286143071536
91,0.0,21,True,0.9567533766883441
92,0.0,17,True,0.9562781390695347
93,1.0,71,True,0.9558029014507253
94,0.0,39,True,0.9553276638319159
95,0.0,200,False,0.9548524262131065
96,2.0,100,True,0.9543771885942971
97,1.0,104,True,0.9539019509754878
98,0.0,18,True,0.9534267133566784
99,0.0,130,True,0.952951475737869
100,0.0,58,True,0.9524762381190596
101,0.0,69,True,0.9520010005002502
102,0.0,48,True,0.9515257628814408
103,1.0,96,True,0.9510505252626313
104,0.0,11,True,0.9505752876438219
105,0.0,39,True,0.9501000500250125
106,2.0,200,False,0.9496248124062031
107,0.0,11,True,0.9491495747873937
108,0.0,83,True,0.9486743371685843
109,0.0,38,True,0.9481990995497749
110,0.0,52,True,0.9477238619309655
111,0.0,200,False,0.9472486243121561
112,0.0,14,True,0.9467733866933467
113,1.0,160,True,0.9462981490745372
114,0.0,182,True,0.9458229114557278
115,1.0,42,True,0.9453476738369184
