episode,return,steps,died,epsilon
0,0.0,250,False,1.0
1,0.0,215,True,0.9999524976248813
2,0.0,34,True,0.9999049952497625
3,0.0,71,True,0.9998574928746438
4,0.0,34,True,0.999809990499525
5,0.0,74,True,0.9997624881244063
6,0.0,5,True,0.9997149857492874
7,0.0,213,True,0.9996674833741687
8,0.0,16,True,0.9996199809990499
9,0.0,131,True,0.9995724786239312
10,0.0,7,True,0.9995249762488124
11,0.0,99,True,0.9994774738736937
12,0.0,125,True,0.9994299714985749
13,0.0,7,True,0.9993824691234562
14,0.0,3,True,0.9993349667483374
15,0.0,19,True,0.9992874643732187
16,0.0,65,True,0.9992399619981
17,0.0,250,False,0.9991924596229812
18,0.0,165,True,0.9991449572478623
19,0.0,33,True,0.9990974548727436
20,0.0,7,True,0.9990499524976248
21,0.0,96,True,0.9990024501225061
22,0.0,15,True,0.9989549477473874
23,0.0,6,True,0.9989074453722686
24,0.0,130,True,0.9988599429971499
25,0.0,46,True,0.9988124406220311
26,0.0,8,True,0.9987649382469124
27,0.0,16,True,0.9987174358717936
28,0.0,57,True,0.9986699334966749
29,0.0,3,True,0.9986224311215561
30,0.0,250,False,0.9985749287464373
31,0.0,36,True,0.9985274263713185
32,0.0,7,True,0.9984799239961998
33,0.0,250,False,0.998432421621081
34,0.0,13,True,0.9983849192459623
35,0.0,111,True,0.9983374168708435
36,0.0,20,True,0.9982899144957248
37,0.0,51,True,0.998242412120606
38,0.0,90,True,0.9981949097454873
39,0.0,35,True,0.9981474073703686
40,0.0,24,True,0.9980999049952498
41,0.0,43,True,0.998052402620131
42,0.0,7,True,0.9980049002450122
43,0.0,26,True,0.9979573978698935
44,1.0,216,True,0.9979098954947747
45,0.0,13,True,0.997862393119656
46,0.0,6,True,0.9978148907445372
47,0.0,19,True,0.9977673883694185
48,0.0,24,True,0.9977198859942997
49,0.0,131,True,0.997672383619181
50,0.0,14,True,0.9976248812440622
51,0.0,197,True,0.9975773788689435
52,0.0,42,True,0.9975298764938247
53,0.0,25,True,0.9974823741187059
54,0.0,16,True,0.9974348717435871
55,0.0,75,True,0.9973873693684684
56,0.0,31,True,0.9973398669933496
57,0.0,135,True,0.9972923646182309
58,0.0,17,True,0.9972448622431122
59,0.0,98,True,0.9971973598679934
60,0.0,132,True,0.9971498574928747
61,0.0,26,True,0.9971023551177559
62,0.0,2,True,0.9970548527426372
63,0.0,7,True,0.9970073503675184
64,0.0,163,True,0.9969598479923997
65,0.0,5,True,0.9969123456172808
66,0.0,3,True,0.9968648432421621
67,0.0,10,True,0.9968173408670433
68,0.0,110,True,0.9967698384919246
69,0.0,31,True,0.9967223361168058
70,0.0,11,True,0.9966748337416871
71,0.0,250,False,0.9966273313665683
72,0.0,21,True,0.9965798289914496
73,0.0,8,True,0.9965323266163308
74,0.0,39,True,0.9964848242412121
75,0.0,5,True,0.9964373218660934
76,0.0,8,True,0.9963898194909746
77,0.0,136,True,0.9963423171158557
78,0.0,119,True,0.996294814740737
79,0.0,83,True,0.9962473123656183
80,0.0,205,True,0.9961998099904995
81,0.0,5,True,0.9961523076153808
82,0.0,44,True,0.996104805240262
83,0.0,6,True,0.9960573028651433
84,0.0,10,True,0.9960098004900245
85,0.0,13,True,0.9959622981149058
86,0.0,38,True,0.995914795739787
87,0.0,15,True,0.9958672933646683
88,0.0,41,True,0.9958197909895494
89,0.0,9,True,0.9957722886144307
90,0.0,17,True,0.9957247862393119
91,0.0,23,True,0.9956772838641932
92,0.0,52,True,0.9956297814890744
93,0.0,110,True,0.9955822791139557
94,0.0,7,True,0.995534776738837
95,0.0,19,True,0.9954872743637182
96,0.0,210,True,0.9954397719885995
97,0.0,9,True,0.9953922696134807
98,0.0,31,True,0.995344767238362
99,0.0,250,False,0.9952972648632432
100,0.0,47,True,0.9952497624881244
101,0.0,75,True,0.9952022601130056
102,0.0,22,True,0.9951547577378869
103,0.0,250,False,0.9951072553627681
104,0.0,4,True,0.9950597529876494
105,0.0,8,True,0.9950122506125306
106,0.0,14,True,0.9949647482374119
107,0.0,21,True,0.9949172458622931
108,0.0,90,True,0.9948697434871744
109,0.0,13,True,0.9948222411120556
110,0.0,12,True,0.9947747387369369
111,0.0,6,True,0.9947272363618181
112,0.0,19,True,0.9946797339866993
113,0.0,3,True,0.9946322316115805
114,0.0,48,True,0.9945847292364618
115,0.0,49,True,0.994537226861343
116,0.0,54,True,0.9944897244862243
117,0.0,13,True,0.9944422221111056
118,0.0,64,True,0.9943947197359868
119,0.0,131,True,0.9943472173608681
120,0.0,78,True,0.9942997149857493
121,0.0,22,True,0.9942522126106306
122,0.0,9,True,0.9942047102355118
123,0.0,11,True,0.994157207860393
124,0.0,180,True,0.9941097054852742
125,0.0,4,True,0.9940622031101555
126,0.0,14,True,0.9940147007350367
127,0.0,7,True,0.993967198359918
128,0.0,7,True,0.9939196959847992
129,0.0,19,True,0.9938721936096805
130,0.0,31,True,0.9938246912345617
131,0.0,87,True,0.993777188859443
132,0.0,4,True,0.9937296864843242
133,0.0,6,True,0.9936821841092055
134,0.0,32,True,0.9936346817340868
135,0.0,250,False,0.9935871793589679
136,0.0,34,True,0.9935396769838492
137,0.0,150,True,0.9934921746087304
138,0.0,18,True,0.9934446722336117
139,0.0,132,True,0.9933971698584929
140,0.0,126,True,0.9933496674833742
141,0.0,88,True,0.9933021651082554
142,0.0,12,True,0.9932546627331367
143,0.0,250,False,0.9932071603580179
144,0.0,17,True,0.9931596579828992
145,0.0,41,True,0.9931121556077804
146,0.0,75,True,0.9930646532326617
147,0.0,35,True,0.9930171508575428
148,0.0,2,True,0.9929696484824241
149,0.0,9,True,0.9929221461073053
150,0.0,96,True,0.9928746437321866
151,0.0,6,True,0.9928271413570678
152,0.0,25,True,0.9927796389819491
153,0.0,25,True,0.9927321366068304
154,0.0,71,True,0.9926846342317116
155,0.0,109,True,0.9926371318565929
156,0.0,24,True,0.9925896294814741
157,0.0,134,True,0.9925421271063554
158,0.0,13,True,0.9924946247312365
159,0.0,63,True,0.9924471223561178
160,0.0,187,True,0.992399619980999
161,0.0,33,True,0.9923521176058803
162,0.0,82,True,0.9923046152307615
163,0.0,59,True,0.9922571128556428
164,0.0,72,True,0.992209610480524
165,0.0,7,True,0.9921621081054053
166,0.0,3,True,0.9921146057302865
167,0.0,89,True,0.9920671033551678
168,0.0,250,False,0.992019600980049
169,0.0,26,True,0.9919720986049303
170,0.0,10,True,0.9919245962298114
171,0.0,3,True,0.9918770938546927
172,0.0,38,True,0.991829591479574
173,0.0,82,True,0.9917820891044552
174,0.0,2,True,0.9917345867293365
175,0.0,59,True,0.9916870843542177
176,0.0,8,True,0.991639581979099
177,0.0,6,True,0.9915920796039802
178,0.0,4,True,0.9915445772288615
179,0.0,43,True,0.9914970748537427
180,0.0,10,True,0.991449572478624
181,0.0,58,True,0.9914020701035052
